Sl. No.,STATE/U.T.,Availability Within School Premises - Drinking Water,Availability Within School Premises - Usable Urinal,Availability Within School Premises - Playground
1,Andaman  Nicobar Islands,166,143,104
2,Andhra Pradesh,44260,40291,31094
3,Arunachal Pradesh,901,651,554
4,Assam,24001,20930,13395
5,Bihar,32254,13622,13486
6,Chandigarh,21,20,18
7,Chhattisgarh,25492,19251,10762
8,Dadra  Nagar Haveli,126,61,26
9,Daman  Diu,50,44,26
10,Delhi,2501,2528,2049
11,Goa,954,739,460
12,Gujarat,5791,6126,4538
13,Haryana,8759,8264,7202
14,Himachal Pradesh,9855,6734,6529
15,Jammu  Kashmir,5411,3088,2901
16,Jharkhand,18919,14139,6334
17,Karnataka,19593,20822,12580
18,Kerala,6631,6648,4279
19,Lakshadweep,21,18,3
20,Madhya Pradesh,62469,55322,40977
21,Maharashtra,39352,42602,25381
22,Manipur,1450,909,1018
23,Meghalaya,3125,3087,2243
24,Mizoram,1113,1017,241
25,Nagaland,968,1235,559
26,Orissa,26007,22996,6669
27,Puducherry,303,278,148
28,Punjab,13808,13477,9278
29,Rajasthan,35599,38109,14713
30,Sikkim,525,511,357
31,Tamil Nadu,30810,28440,24379
32,Tripura,1131,1378,1352
33,Uttar Pradesh,133204,110340,92566
34,Uttarakhand,11292,5510,7586
35,West Bengal,44084,44970,17012
INDIA,INDIA,610946,534300,360819
