Sl. No.,STATE/U.T.,Availability Within School Premises - Drinking Water,Availability Within School Premises - Usable Urinal,Availability Within School Premises - Playground
1,Andaman  Nicobar Islands,62,61,42
2,Andhra Pradesh,12811,11365,9993
3,Arunachal Pradesh,687,556,493
4,Assam,6425,6052,5649
5,Bihar,20819,11096,10701
6,Chandigarh,22,22,20
7,Chhattisgarh,11607,9631,6564
8,Dadra  Nagar Haveli,90,69,37
9,Daman  Diu,32,29,18
10,Delhi,575,576,458
11,Goa,66,62,39
12,Gujarat,28482,29022,22791
13,Haryana,3200,3037,2603
14,Himachal Pradesh,2637,2044,2018
15,Jammu  Kashmir,5489,3846,3868
16,Jharkhand,11704,8915,3995
17,Karnataka,26098,25762,19762
18,Kerala,3055,3039,2356
19,Lakshadweep,10,9,1
20,Madhya Pradesh,31801,30384,23630
21,Maharashtra,24837,25753,17909
22,Manipur,454,496,363
23,Meghalaya,1067,1232,1105
24,Mizoram,952,978,339
25,Nagaland,347,457,295
26,Orissa,15616,14107,6039
27,Puducherry,117,115,76
28,Punjab,3985,3881,3107
29,Rajasthan,32079,32897,15356
30,Sikkim,193,191,174
31,Tamil Nadu,9568,9203,7414
32,Tripura,732,973,807
33,Uttar Pradesh,55970,50451,45455
34,Uttarakhand,3191,1994,2363
35,West Bengal,1204,1015,604
INDIA,INDIA,315984,289320,216444
